,test_instance,nr_people_seated,nr_unavailable_places,running_time
0,Exact1,3,5,0.4282829761505127
1,Exact10,66,65,0.25064873695373535
2,Exact11,61,107,0.24467706680297852
3,Exact12,67,96,0.26416730880737305
4,Exact13,90,110,0.2763800621032715
5,Exact14,106,146,0.24578142166137695
6,Exact15,80,111,0.2556941509246826
7,Exact16,177,228,0.2665138244628906
8,Exact17,438,627,0.2762734889984131
9,Exact18,4523,7766,3.9408230781555176
10,Exact19,28863,50128,142.32883143424988
11,Exact2,7,9,0.2569606304168701
12,Exact20,-1,-1,1800.3288657665253
13,Exact21,-1,-1,1800.418601512909
14,Exact3,6,6,0.2571091651916504
15,Exact4,28,28,0.24152517318725586
16,Exact5,19,29,0.24421358108520508
17,Exact6,35,45,0.24210906028747559
18,Exact7,34,44,0.24674248695373535
19,Exact8,30,39,0.24300789833068848
20,Exact9,41,31,0.24138760566711426
