,test_instance,nr_people_seated,nr_unavailable_places,running_time
0,Exact1,4,4,0.2588949203491211
1,Exact10,48,47,1803.5016090869904
2,Exact11,41,74,1806.7802684307098
3,Exact12,38,53,1807.960743188858
4,Exact13,47,73,1805.3989191055298
5,Exact14,48,57,1808.918608903885
6,Exact15,49,49,1806.7467367649078
7,Exact16,60,66,1805.6496179103851
8,Exact17,37,52,2799.6966922283173
9,Exact18,31,46,3362.1790251731873
10,Exact19,26,42,3574.7310495376587
11,Exact2,7,9,5.415638446807861
12,Exact20,26,39,4204.735901594162
13,Exact21,23,30,2456.958206176758
14,Exact3,8,14,6.915362119674683
15,Exact4,28,28,31.11940050125122
16,Exact5,19,22,0.9631733894348145
17,Exact6,38,42,482.6866648197174
18,Exact7,40,41,16.414109468460083
19,Exact8,33,35,627.6430184841156
20,Exact9,41,30,730.7673745155334
