,test_instance,nr_people_seated,nr_unavailable_places,running_time
0,Exact01,3,5,0.3731386661529541
1,Exact10,66,65,0.2404184341430664
2,Exact11,62,106,0.24301910400390625
3,Exact12,74,89,0.24635004997253418
4,Exact13,90,110,0.24828362464904785
5,Exact14,104,148,0.24422597885131836
6,Exact15,80,111,0.24968338012695312
7,Exact16,180,225,0.2540602684020996
8,Exact17,442,623,0.28253793716430664
9,Exact18,4524,7765,3.273695230484009
10,Exact19,28804,50187,111.85590052604675
11,Exact02,7,9,0.2502117156982422
12,Exact20,104255,176407,1317.2537937164307
13,Exact21,-1,-1,1801.251938343048
14,Exact03,6,6,0.25072312355041504
15,Exact04,28,28,0.2600526809692383
16,Exact05,19,28,0.24443745613098145
17,Exact06,35,45,0.2472515106201172
18,Exact07,34,44,0.24562287330627441
19,Exact08,30,39,0.24428820610046387
20,Exact09,41,31,0.24301624298095703
