,test_instance,nr_people_seated,nr_unavailable_places,running_time
0,Exact1,4,4,0.28963446617126465
1,Exact10,60,71,0.24866175651550293
2,Exact11,64,104,0.2505652904510498
3,Exact12,68,95,0.26985669136047363
4,Exact13,89,111,0.2623012065887451
5,Exact14,107,145,0.2579047679901123
6,Exact15,54,137,0.25210070610046387
7,Exact16,216,189,0.25187230110168457
8,Exact17,294,771,0.3222479820251465
9,Exact18,4743,7546,7.464537620544434
10,Exact19,30268,48723,270.45333456993103
11,Exact2,8,8,0.39252710342407227
12,Exact20,-1,-1,1800.424088716507
13,Exact21,-1,-1,1800.3558876514435
14,Exact3,8,14,0.4006967544555664
15,Exact4,27,29,0.25099754333496094
16,Exact5,23,26,0.2444617748260498
17,Exact6,35,45,0.2543313503265381
18,Exact7,37,47,0.2493886947631836
19,Exact8,29,40,0.2484877109527588
20,Exact9,38,35,0.2527143955230713
