,test_instance,nr_people_seated,nr_unavailable_places,running_time
0,Online1,5,4,0.30109333992004395
1,Online10,74,126,0.2500579357147217
2,Online11,45,62,0.2456047534942627
3,Online12,144,222,0.2770993709564209
4,Online13,234,337,0.2991178035736084
5,Online14,330,735,0.46265459060668945
6,Online15,414,606,0.34858107566833496
7,Online16,9629,19639,36.04945230484009
8,Online17,-1,-1,1800.3482325077057
9,Online18,-1,-1,1800.5317118167877
10,Online2,9,5,0.36411309242248535
11,Online3,15,23,0.2407245635986328
12,Online4,12,22,0.24399161338806152
13,Online5,22,38,0.25066637992858887
14,Online6,29,51,0.2469029426574707
15,Online7,41,57,0.2413644790649414
16,Online8,38,85,0.24237537384033203
17,Online9,69,96,0.24937677383422852
