,test_instance,nr_people_seated,nr_unavailable_places,running_time
0,Online1,4,3,0.2662479877471924
1,Online10,4,7,0.2424933910369873
2,Online11,3,3,0.2428731918334961
3,Online12,1,4,0.26316094398498535
4,Online13,8,5,0.25742459297180176
5,Online14,2,5,0.24900460243225098
6,Online15,8,9,0.24974966049194336
7,Online16,1,3,0.2700836658477783
8,Online17,1,5,0.47702670097351074
9,Online18,5,7,0.81298828125
10,Online2,3,3,0.24431872367858887
11,Online3,7,8,0.24323010444641113
12,Online4,0,0,0.2449188232421875
13,Online5,3,5,0.24418973922729492
14,Online6,1,4,0.2634413242340088
15,Online7,6,15,0.2540605068206787
16,Online8,4,7,0.24967622756958008
17,Online9,6,10,0.2501182556152344
