,test_instance,nr_people_seated,nr_unavailable_places,running_time
0,Online1,4,3,0.2795240879058838
1,Online10,4,7,0.24301457405090332
2,Online11,3,4,0.24527597427368164
3,Online12,1,4,0.25696849822998047
4,Online13,8,5,0.24199914932250977
5,Online14,2,5,0.2472243309020996
6,Online15,8,9,0.24397659301757812
7,Online16,1,4,0.29526519775390625
8,Online17,1,4,0.7668354511260986
9,Online18,5,8,1.2766060829162598
10,Online2,3,3,0.24963831901550293
11,Online3,7,8,0.24542021751403809
12,Online4,0,0,0.24287652969360352
13,Online5,3,5,0.24260854721069336
14,Online6,1,4,0.24861979484558105
15,Online7,6,8,0.24040842056274414
16,Online8,4,7,0.24458837509155273
17,Online9,6,9,0.24442648887634277
