,test_instance,nr_people_seated,nr_unavailable_places,running_time
0,Exact01,4,4,0.31763458251953125
1,Exact02,7,9,0.2635025978088379
2,Exact03,8,14,0.2562069892883301
3,Exact04,28,28,31.381799459457397
4,Exact05,19,22,0.6718118190765381
5,Exact06,38,42,489.6034755706787
6,Exact07,40,41,16.78483009338379
7,Exact08,33,35,640.2320277690887
8,Exact09,41,30,746.3585197925568
9,Exact10,48,47,1804.8957781791687
10,Exact11,41,74,1806.3545207977295
11,Exact12,38,53,1809.875006198883
12,Exact13,47,73,1804.5188200473785
13,Exact14,48,57,1810.3591346740723
14,Exact15,48,48,1804.6189622879028
15,Exact16,60,66,1805.4453225135803
16,Exact17,39,57,1800
17,Exact18,31,46,1800
18,Exact19,26,42,1800
19,Exact20,26,39,1800
20,Exact21,23,30,1800
