,test_instance,nr_people_seated,nr_unavailable_places,running_time
0,Online01,5,4,0.268282413482666
1,Online02,9,5,0.2593066692352295
2,Online03,15,23,0.2563149929046631
3,Online04,12,22,0.2902240753173828
4,Online05,22,38,0.26030421257019043
5,Online06,29,51,0.26303601264953613
6,Online07,41,57,0.28819966316223145
7,Online08,38,85,0.2603037357330322
8,Online09,69,96,0.3001868724822998
9,Online10,74,126,0.2673153877258301
10,Online11,45,62,0.26364588737487793
11,Online12,144,222,0.3801279067993164
12,Online13,234,337,0.3075697422027588
13,Online14,330,735,0.4879012107849121
14,Online15,414,606,0.35668158531188965
15,Online16,9629,19639,39.816699266433716
16,Online17,-1,-1,1800.3418617248535
17,Online18,-1,-1,1800.5014946460724
