,test_instance,nr_people_seated,nr_unavailable_places,running_time
0,Online01,5,4,0.2643725872039795
1,Online02,9,5,0.2535254955291748
2,Online03,13,24,0.2539348602294922
3,Online04,12,25,0.26114511489868164
4,Online05,22,32,0.25127601623535156
5,Online06,28,52,0.25278496742248535
6,Online07,41,57,0.2503945827484131
7,Online08,38,85,0.2538564205169678
8,Online09,68,97,0.25133252143859863
9,Online10,67,133,0.2568376064300537
10,Online11,52,69,0.25127410888671875
11,Online12,149,218,0.256727933883667
12,Online13,242,338,0.2825953960418701
13,Online14,329,736,0.44605588912963867
14,Online15,423,597,0.31682467460632324
15,Online16,10324,20785,10.015260934829712
16,Online17,-1,-1,1800.6543581485748
17,Online18,-1,-1,1801.2270517349243
