,test_instance,nr_people_seated,nr_unavailable_places,running_time
0,Online01,5,4,0.2685573101043701
1,Online02,9,5,0.2707514762878418
2,Online03,13,24,0.2507507801055908
3,Online04,12,25,0.2534055709838867
4,Online05,22,32,0.25154948234558105
5,Online06,31,49,0.25278639793395996
6,Online07,41,57,0.24805736541748047
7,Online08,40,81,0.25337982177734375
8,Online09,69,96,0.25643110275268555
9,Online10,76,124,0.2591991424560547
10,Online11,52,69,0.25266551971435547
11,Online12,145,222,0.26067352294921875
12,Online13,235,341,0.28981709480285645
13,Online14,332,733,0.6158857345581055
14,Online15,427,593,0.3634011745452881
15,Online16,10352,20804,40.08243703842163
16,Online17,-1,-1,1800.5477628707886
17,Online18,-1,-1,1801.0186686515808
